"Health ProtectorGuard - Gen 2 (CA, OR), Gen 3 (PA), Enhanced Gen 3 (all other Gen 3 states)",,,,,,,,
Golden Rule Insurance Company,,,,,,,,
,,,,,,,,
State,Language,Document Type,Plan Type,Application Number,Part Number,Filename,PDF Link,Effective Date
VA,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-45(R),764IVA-G-0126,764IVA-G202601.pdf,764IVA-G202601.pdf,1/23/2026
VA,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
VA,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
WI,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-48,763IWI-G-0625,763IWI-G202506.pdf,763IWI-G202506.pdf,6/20/2025
WI,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-48,764IWI-G-0126,764IWI-G202601.pdf,764IWI-G202601.pdf,1/23/2026
WI,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
WI,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
WV,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-47,763IWV-G-0625,763IWV-G202506.pdf,763IWV-G202506.pdf,6/20/2025
WV,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-47,764IWV-G-0126,764IWV-G202601.pdf,764IWV-G202601.pdf,1/23/2026
WV,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
WV,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
WY,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-49,763IWY-G-0625,763IWY-G202506.pdf,763IWY-G202506.pdf,6/20/2025
WY,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-49,764IWY-G-0126,764IWY-G202601.pdf,764IWY-G202601.pdf,1/23/2026
WY,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
WY,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
,,,,,,,,
,,,,,,,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
